Context,Question,Chosen_Strategy,Model_Reason
"Nấm lim xanh rừng mang nhiều giá trị đối với sức khỏe chúng ta. Chính vì vậy, người dùng luôn muốn tìm mua nấm thật, đảm bảo chất lượng. Nấm lim xanh rừng, hay còn gọi là nấm lim xanh mọc tự nhiên có hình thù xù xì, không bắt mắt. Trong khi đó, nấm được trồng nhân tạo lại có bề ngoài bắt mắt, màu sắc đẹp, thu hút cùng bề mặt nhẵn min. Nấm lim xanh rừng thật có mũ nấm và chân nấm thẳng hàng với nhau; còn nấm giả thì mũ nấm và chân nấm sẽ vuông góc. Lý giải điều này, nấm mọc lên từ thân cây gỗ lim, đâm ngang ra song song với mặt đất. Đây là loại nấm phá gỗ, phân hủy gỗ để lấy dưỡng chất, cho nên nấm phải sinh trưởng trên thân gỗ thì mới đảm bảo đủ chất dinh dưỡng. Còn nấm giả thì tán nấm gần như vuông góc với thân bởi mọc từ dưới đất mọc lên. Khi đó, nấm sẽ không được đảm bảo có nguồn gốc từ loại cây gì cũng như không thể lấy chất dinh dưỡng từ thân gỗ lim. Về mùi vị, nấm lim xanh tự nhiên có vị rất đắng. Vị đắng này sẽ đọng lại nơi cuống họng trong thời gian dài sau khi sử dụng.",Nấm lim xanh tự nhiên và nấm lim xanh trồng nhân tạo có điểm khác biệt gì về hình thức?,COMPLEX,"To answer the question, we need to compare the physical characteristics of nấm lim xanh tự nhiên and nấm lim xanh trồng nhân tạo as described in the context. This requires extracting and comparing information from different"
"Đầu tiên, chúng ta hãy cùng tìm hiểu viêm tuyến giap là gì. Viêm tuyến giáp (gọi tắt là viêm giáp) là tình trạng bệnh lý đặc trưng bởi sự thấm nhuận các tế bào viêm hoặc mô xơ ở tuyến giáp bị viêm.1 2 Viêm giáp được chia thành nhiều loại khác nhau theo bảng sau:2 3 Viêm giáp bán cấp là viêm giáp gây đau thường gặp nhất trên lâm sàng. Viêm giáp bán cấp còn có các tên gọi khác như: viêm tuyến giáp do virus, viêm tuyến giáp u hạt bán cấp, viêm tuyến giáp giả lao, viêm tuyến giáp tế bào khổng lồ, viêm tuyến giáp De Quervain.3",Viêm tuyến giáp bán cấp là gì?,SIMPLE,"The answer to the question can be directly extracted from the text. Viêm tuyến giáp bán cấp được mô tả như là ""viêm giáp gây đau thường gặp nhất trên lâm sàng."""
"- Dược liệu được tìm thấy nhiều ở những vùng đồi núi phía bắc Thái Lan. Ngoài ra, dược liệu này còn phân bố nhiều ở các khu vực Đông Nam Á.
- Người ta thu hoạch sâm tố nữ vào tháng 10 – 12.1",Trong những tháng nào người ta thu hoạch sâm tố nữ?,SIMPLE,"The answer can be directly extracted from the given context as it states ""Người ta thu hoạch sâm tố nữ vào tháng 10 – 12.1"""
" Bé có thể cần vài cuộc phẫu thuật để điều trị bệnh. Bác sĩ phẫu thuật sẽ thực hiện quá trình gồm có ba giai đoạn. Những cuộc phẫu thuật này được thực hiện để giúp dòng máu chảy bình thường, đi ra khỏi tim và đưa máu giàu oxy đi đến các cơ quan trong cơ thể.  Một lựa chọn phẫu thuật khác, đó chính là ghép tim, đặc biệt khi có các khuyết tật tim khác rất phức tạp. Bé mắc hội chứng thiểu sản tim trái có thể được cân nhắc ghép tim. Sau khi ghép tim, bé cần sử dụng một thời gian dài để tránh tình trạng đào thải tạng hiến. ",Bác sĩ sẽ thực hiện mấy giai đoạn để điều trị hội chứng thiểu sản tim trái?,COMPLEX,"The question requires understanding the information about the treatment process for the condition, which is spread across different parts of the context. It's not a straightforward fact that can be extracted directly."
"Những xét nghiệm hình ảnh cho phép bác sĩ xác định xem có khối u hay không, cũng như kích thước, vị trí và mức độ của khối u. Các xét nghiệm này cũng có thể phát hiện sự lây lan của ung thư vào các cấu trúc gần đó. Những lựa chọn gồm: - X-quang ngực.
- CT-Scan.
- MRI.
- PET-CT.
- X-quang cản quang barium đường tiêu hóa trên.
- Panorex.","Ngoài chẩn đoán vị trí của khối u, những xét nghiệm hình ảnh có thể phát hiện tình trạng gì?",COMPLEX,"To answer the question, we need to combine information from the context about the capabilities of the imaging tests to determine more than just the location of the tumor. The question asks about additional information these tests can provide beyond just"
"Loại bệnh này có thể gây ra những tổn thương nghiêm trọng ở tim, đặc biệt là van tim. Van hay bị tổn thương nhất là loại van nằm ở giữa buồng tim trái, còn gọi là van hai lá. Tuy nhiên, các van khác vẫn có thể bị ảnh hưởng. Tổn thương có thể gây ra: - Hẹp van: Làm cản trở dòng máu chảy trong các buồng của tim.
- Hở van: Làm dòng máu qua các buồng tim không được chảy đúng cách.
- Tổn thương cơ tim: Tinh trạng viêm gây ra bởi sốt thấp khớp có thể làm yếu cơ tim. Điều này ảnh hưởng đến khả năng bơm máu của tim. Tổn thương van hai lá và các van khác hoặc tổn thương cơ tim có thể ảnh hưởng đến chức năng tim sau này với các hậu quả như: - Nhịp tim không đều do rung nhĩ.
- Suy tim.",Sốt thấp khớp có thể gây ra hậu quả gì?,COMPLEX,"To answer the question, we need to extract information from the context about the effects of fever on the heart, which is not a direct fact but rather a consequence of a specific condition (fever-induced inflammation of the"
"Chỉ bôi ngoài da. Tránh dây vào mắt, mũi, miệng. Nếu có tình trạng kích ứng (ửng đỏ, ngứa, nóng rát, phồng rộp, sưng phủ) hay mẫn cảm (cảm giác rát, nổi mẩn đỏ và ngứa), ngưng điều trị và thay bằng thuốc khác. Không sử dụng thuốc khi đã quá hạn ghi trên nhãn.",Nên lưu ý gì khi sử dụng Calcrem?,SIMPLE,The answer can be directly extracted from the given context as it lists precautions and instructions for using Calcrem.
"Chuẩn bị: Rễ cây Nổ. Thực hiện: Sắc lấy nước đặc, đem ngậm súc miệng và nhổ đi.","Khi sắc thuốc chữa viêm lợi, nên sắc rễ cây Nổ đặc tới mức nào?",COMPLEX,"The question requires understanding the specific instructions given in the context for preparing the medicinal preparation, which involves multiple steps and conditions (serving the purpose of súc miệng and nhổ đi). This cannot be answered with a"
"Nước sắc Bán biên liên dùng bằng đường uống có tác dụng gây tẩy nhẹ. Lobelin trên tiêu bản ruột thỏ cô lập, với liều thấp có tác dụng tăng cường trương lực và nhu động ruột, liều cao lại gây liệt ruột. Lobelin dùng bằng đường uống còn có tác dụng gây chán ăn. Với nồng độ 15mcg/ml, Lobelin có tác dụng ức chế tế bào ung thư u báng chuột nhắt trắng hấp thu oxy. Thí nghiệm trên ống kính, nước sắc cây có tác dụng ức chế một số nấm thông thường gây bệnh ngoài da.",Chỉ rõ tác dụng khi dùng nước sắc Bán biên liên theo y học hiện đại?,COMPLEX,"The question requires synthesizing information from various parts of the context to provide a comprehensive answer about the modern medical uses of Ban Jianlian decoction. This involves understanding the different effects mentioned (treatment of gastrointestinal issues,"
"Không dùng đồng thời với các thuốc chứa carbocistein khác để tránh vượt quá liều khuyến cáo.1 Không dùng kèm với các thuốc giảm đau không steroid, steroid và các thuốc kháng tiểu cầu (clopidogrel, ticagrelor,…) do làm tăng nguy cơ chảy máu đường tiêu hóa và loét dạ dày, tá tràng.3",Trong những trường hợp nào không nên dùng thuốc Carflem?,COMPLEX,"The question asks about specific cases where the medication should not be used, which requires interpreting the context to identify the conditions mentioned."
" Phòng ngừa bệnh sốt xuất huyết Lassa dựa vào việc thúc đẩy “vệ sinh cộng đồng” tốt để ngăn chặn các loài gặm nhấm vào nhà. Các biện pháp hiệu quả bao gồm: - Lưu trữ ngũ cốc và thực phẩm khác trong các thùng chứa chống chuột bọ,
- Vứt rác xa nhà, duy trì hộ gia đình sạch sẽ
- Nuôi mèo Bởi vì không thể loại bỏ chuột Mastomys hoàn toàn khỏi môi trường. Các thành viên trong gia đình phải luôn cẩn thận, tránh tiếp xúc với máu và dịch cơ thể khi chăm sóc người bệnh.   ",Các thành viên trong gia đình cần lưu ý điều gì khi chăm sóc người bệnh mắc sốt xuất huyết Lassa?,COMPLEX,"To answer the question, we need to extract specific information about precautions that family members should take when caring for a sick person with Lassa fever from the provided context."
"Độ pH ở các cơ quan khác nhau trong cơ thể là không giống nhau. pH là một trong những yếu tố vô cùng quan trọng ảnh hưởng đến sức khỏe của con người. Độ pH của cơ thể có khả năng ảnh hưởng đến mọi tế bào trong cơ thể. pH của máu có tính kiềm. Bộ não, hệ tuần hoàn, thần kinh, hệ tiêu hoá… làm việc tốt ở mức độ pH thích hợp. Khi pH của cơ thể bị quá axit, cơ thể dễ bị bệnh. Ví dụ như bệnh tim mạch, lão hoá sớm, các vấn đề về thần kinh, dị ứng, ung thư. Tốt hơn hết ăn khoảng 60 – 80% thực phẩm tạo kiềm, khoảng 20 – 40% thực phẩm tạo axit. Nếu duy trì được chế độ ăn này thì pH của cơ thể hơi kiềm. Đó là điều kiện để có sức khoẻ tốt.",Làm sao để duy trì độ pH của cơ thể hơi kiềm?,COMPLEX,The question requires understanding the information provided in the context about the ideal pH range and the recommended dietary balance to achieve this. It also involves interpreting the information about the effects of pH imbalance on health.
"Ciprofloxacin thuộc nhóm quinolon, nhóm kháng sinh có phổ rộng tác động được trên cả vi khuẩn gram âm và gram dương. Hoạt chất này ức chế các enzyme cần thiết cho quá trình tổng hợp gen của vi khuẩn, nên có tác dụng diệt khuẩn. Ciprobay có 3 hàm lượng là 250, 500, 750 mg.",Ciprobay có mấy hàm lượng khác nhau?,SIMPLE,"The answer can be directly extracted from the given context, which states ""Ciprobay có 3 hàm lượng là 250, 500, 750 mg."""
"Các triệu chứng có thể thấy khi người bệnh mắc hội chứng sốc nhiễm độc gồm: - Sốt cao đột ngột.
- Tụt huyết áp.
- Nôn ói hoặc tiêu chảy.
- Nổi ban đỏ như bị bỏng nắng ở khắp cơ thể.
- Lơ mơ.
- Đau cơ.
- Đỏ mắt, miệng và họng.
- Co giật.
- Đau đầu.",Ban đỏ khi mắc hội chứng sốc nhiễm độc có đặc điểm gì?,SIMPLE,"The answer to the question can be directly extracted from the context, which states that ""Nổi ban đỏ như bị bỏng nắng ở khắp cơ thể"" (Rashes like sunburn all over the body) is one"
"Theo thời gian, bệnh Addison hay còn được gọi là suy thượng thận nguyên phát, sẽ dẫn đến các triệu chứng sau: - Mệt mỏi mãn tính và cảm giác yếu cơ.
- Mất cảm giác ngon miệng, không có khả năng tiêu hóa thức ăn và giảm cân.
- Huyết áp thấp (hạ huyết áp) giảm nhiều hơn khi đứng. Điều này gây ra chóng mặt, đôi khi đến mức ngất xỉu.
- Xuất hiện các vết nám, sạm đen và tàn nhang trên da.
- Da sẫm màu đặc biệt xảy ra nhiều ở vùng trán, đầu gối và khuỷu tay hoặc dọc theo sẹo, nếp gấp da và nếp nhăn (như ở lòng bàn tay).
- Bất thường lượng đường trong máu, như lượng đường trong máu thấp nguy hiểm (hạ đường huyết).
- Buồn nôn, nôn và tiêu chảy.
- Không có khả năng đối phó với căng thẳng.
- Tâm trạng buồn bực, khó chịu và trầm cảm.
- Không thích nghi được với cảm giác nóng hoặc lạnh
- Thèm đồ ăn mặn. Vì các triệu chứng của bệnh Addison tiến triển chậm, chúng có thể không được nhận ra cho đến khi bị kích hoạt bởi một sự kiện căng thẳng về thể chất. Chẳng hạn như bị một bệnh khác, phẫu thuật hoặc tai nạn, làm cho các triệu chứng xấu đi nhanh chóng. Khi điều này xảy ra, nó được gọi là một cuộc khủng hoảng Addisonia. Cứ bốn người mắc bệnh Addison thì sẽ có một người phát hiện bệnh khi bị cuộc khủng hoảng Addisonia. Khủng hoảng Addisonia được xem là một cấp cứu y khoa vì nó có thể gây tử vong.",Triệu chứng bất thường lượng đường trong máu liên quan đến bệnh Addison là gì?,SIMPLE,"The answer can be directly extracted from the given context, which states that ""Bất thường lượng đường trong máu, như lượng đường trong máu thấp nguy hiểm (hạ đường huyết)"" (Abnormal blood sugar levels"
"Thành phần cây Gáo có chứa triterpene glycoside là naucleosid và noreugenin. Lá chứa các alkaloid là 10 hydroxy strictosamid và 6’ O acetyl strictosamid, vincosamid. Ngoài ra còn có β sitosterol, acid palmitic. Vỏ, lá và gỗ đều chứa các chất đắng.","Ngoài triterpene glycoside và alkaloid, lá cây Gáo còn chứa thành phần nào khác?",COMPLEX,"To answer the question, we need to identify additional components in the leaves of the Gáo plant that are not triterpene glycosides or alkaloids, which requires extracting information from the given context and comparing"
"2.4.1 Cơn động kinh co cứng Trong cơn co cứng , các cơ thường co cứng lại và người bệnh bị mất ý thức. Việc co thắt các cơ vùng ngực sẽ khiến cho người bệnh cảm thấy khó thở và môi, mặt có thể trở nên tím tái. 2.4.2 Cơn động kinh co giật Cơn động kinh co giật sẽ khiến cho các cơ của người đó bị giật và co thắt. Các cơ ở khuỷu tay, chân, cổ bị co lại và sau đó dãn ra nhanh chóng. Khi cơn động kinh giảm dần thì sự giật cơ chậm dần. và cuối cùng ngừng hẳn. Sau khi giật cơ ngừng hẳn, người bệnh thường thở sâu trước khi thở lại như bình thường. 2.4.3 Cơn co cứng, co giật Cơn động kinh co cứng – co giật xảy ra khi co cứng và co giật xảy ra cùng lúc. Nếu bạn bị cơn co cứng- co giật, một số hoặc tất cả các triệu chứng sau có thể xảy ra cùng một lúc - Có một cảm giác lạ thoáng qua ví dụ như đột nhiên la hét hoặc khóc
- Tiêu tiểu không tự chủ trong hoặc sau cơn động kinh
- Sau cơn có thể cảm thấy lú lẫn hoặc buồn ngủ
- Đau đầu dữ dội sau cơn động kinh Thông thường, một người có cơn động kinh co cứng – co giật sẽ bị cứng và té ngã trong pha cứng. Tứ chi và mặt sẽ giật nhanh và co cơ trong pha co giật. 2.4.4 Sau cơn động kinh co cứng co giật Một cơn động kinh điển hình thường kéo dài một vài phút hoặc ít hơn, sau đó người bệnh có thể chưa tỉnh trong vài phút hoặc hơn tùy thuộc vào cường độ của cơn động kinh. Đây gọi là giai đoạn hậu cơn động kinh, trong giai đoạn này não bộ hoạt động để cố gắng kiềm chế các xung điện bất thường và kiểm soát cơn động kinh. Sau cơn động kinh, người bệnh tỉnh lại có thể cảm thấy đau, mệt mỏi, sợ hãi và lú lẫn. Trấn an và nâng đỡ là điều mà những người chứng kiến có thể thực hiện. Một vài lưu ý cần nhớ Mặc dù chứng kiến một cơn động kinh có vẻ rất đáng sợ và có một truyền thuyết rằng những người có cơn động kinh có nguy cơ cắt phải lưỡi. Điều này hoàn toàn không thể xảy ra. KHÔNG nên đặt bất cứ thứ gì vào miệng hoặc cố gắng mở miệng của bệnh nhân khi họ đang trong cơn động kinh. Bởi việc làm này có thể gây hại cho người bệnh.",Cơn động kinh co giật có dấu hiệu như thế nào?,COMPLEX,"The answer requires combining information from multiple parts of the context to describe the signs and symptoms of a seizure tonic-clonic (co-contraction) episode, which is detailed in the provided text."
"- Azithromycin được dùng 1 lần/ngày.
- Người lớn: Điều trị bệnh lây qua đường tình dục với một liều duy nhất là 1 gam.
- Các chỉ định khác: điều trị viêm phế quản, viêm phổi, viêm họng, nhiễm khuẩn da và mô mềm. Liều ngày đầu tiên: Azithromycin 500 mg; 4 ngày tiếp theo: liều đơn 250 mg/ngày.
- Người cao tuổi: bằng liều của người lớn. Liều dùng trên đây chỉ mang tính chất tham khảo. Liều dùng cụ thể tùy thuộc vào tình trạng bệnh và cơ địa của từng người. Vì vậy, bạn nên đến gặp bác sĩ để được kê đơn thuốc với liều dùng phù hợp với bạn.",Làm thế nào để sử dụng Azibiotic?,COMPLEX,"To answer the question ""Làm thế nào để sử dụng Azibiotic?"" requires combining information from multiple parts of the context, especially regarding the dosing instructions and specific usage scenarios. This includes understanding the daily"
"Ngũ gia bì có chứa khoảng 0,9 – 1% tinh dầu, saponin triterpene.",Saponin triterpene trong Ngũ gia bì có tác dụng gì?,COMPLEX,"The question asks about the effects of saponin triterpene in Ngũ gia bì, which requires interpreting the information provided in the context and inferring the potential effects, rather than just extracting a direct"
"Đây là một tình trạng bệnh lý nặng nề. Nguyên nhân có thể do vi trùng, virus hoặc nấm. Cơ chế gây bệnh chủ yếu do các gãy xương cũ gần khớp hoặc do sử dụng kim chích giảm đau nội khớp. Bệnh lý này nếu không điều trị có thể gây hoại tử khớp, thậm chí tử vong.",Nguyên nhân chính gây viêm khớp nhiễm trùng là gì?,COMPLEX,"To answer the question, we need to extract the main cause from the information provided in the context, which involves combining information from multiple parts of the text."
"Trường hợp quên dùng thuốc, hãy uống càng sớm càng tốt khi nhớ ra. Tuy nhiên, nếu gần với liều kế tiếp, hãy bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch. Không uống bù hai liều trong cùng một lần.",Nếu thời điểm nhớ quên thuốc Cefurobiotic lại gần với liều tiếp theo thì nên làm gì?,COMPLEX,"The question requires understanding the context, which includes information about what to do when forgetting a dose and when the next dose is close. It's not just a simple fact that can be extracted, but requires combining information from"
"Hiện vẫn chưa có đầy đủ nghiên cứu trên người. Tuy nhiên: - Phụ nữ có thai, cho con bú: Lưu ý chỉ nên sử dụng thuốc trong thời gian có thai và cho con bú khi thật cần thiết. Nghĩa là sau khi đã cân nhắc thật kĩ giữa lợi ích và nguy cơ cẩn thận giữa mẹ và bé.
- Người vận hành máy móc: Thuốc hiếm khi gây ra tác dụng đau đầu trên người dùng thuốc. Do đó, vẫn có thể sử dụng cho người lái xe hoặc người vận hành máy móc. Tuy nhiên, dù hiếm nhưng vẫn có thể xảy ra. Do đó, nên thận trọng khi dùng.",Người lái xe và người vận hành máy móc có được sử dụng thuốc Casalmux hay không?,COMPLEX,"The answer requires combining information from multiple parts of the context, especially regarding the specific risks and precautions for drivers and operators of machinery."
"Mộc thông đem về loại bỏ tạp chất, rửa sạch, ngâm trong nước, ủ mềm. Thái lát sau đó phơi hoặc sấy khô là được.","Để Mộc thông mềm, cần làm gì tiếp theo sau các bước loại bỏ tạp chất, rửa sạch?",COMPLEX,The question requires understanding the sequence of steps and the specific action needed after the initial steps (removing impurities and washing). This involves interpreting the given text and connecting the dots between the different parts of the process.
"- Cảm giác như có gì đó trong mắt bạn (cộm mắt).
- Nóng hoặc cay mắt.
- Chảy nước mắt.
- Ngứa mắt.
- Nhạy cảm với ánh sáng (sợ ánh sáng).
- Mắt hoặc mí mắt sưng và đỏ.
- Nước mắt có bọt hoặc có bọt nhỏ trong đó.
- Mắt bị khô.
- Mí mắt hoặc lông mi sần sùi khi bạn thức dậy.",Viêm mí mắt là gì?,COMPLEX,"The question asks for a definition of ""viêm mí mắt"" which requires explaining the symptoms and conditions listed in the context. This cannot be directly extracted as a single fact or list, but requires combining information from multiple"
"Một số thuốc khi uống vào có thể gây nóng rát dạ dày. Sự nóng rát có thể là trực tiếp cho thuốc kích ứng niêm mạc dạ dày. Cũng có thể gián tiếp từ tác dụng của thuốc làm tăng axit dạ dày, làm giảm chất nhầy bảo vệ dạ dày. Một số thuốc thường gặp có thể gây nóng rát bao tử bao gồm: - Nhóm thuốc kháng viêm Corticoide như: Prednisolon, Prednisone, Methylprednisolon,…
- Các thuốc kháng viêm Non Steroid như: Diclofenac, Meloxicam, Naproxen, Aspirin,…
- Thuốc kháng histamin H1 như: Chlopheniramin, Cetirizin, Fexofenadin,…
- Thuốc kích thích thần kinh phó giao cảm như: Cisapride, Isopride,…
- Các thuốc long đờm, làm loãng chất nhầy như: Bromhexin, Acetyl Cystein, Ambroxol,…",Sử dụng một số thuốc gây tăng axit dạ dày có thể dẫn đến tình trạng gì?,COMPLEX,"To answer the question, we need to combine information from the context about the effects of certain medications on acid production and the dạ dày (stomach) lining. The question requires understanding the relationship between these medications and"
"Dùng cỏ đuôi chuột tươi, đem ngâm rửa với nước muối cho sạch. Sau đó để ráo, giã nát và thêm đường vào, ngậm nuốt lấy nước.",Cách dùng cây đuôi chuột như thế nào?,COMPLEX,"The question asks for a method or process for using the cỏ đuôi chuột (mouse tail grass), which requires combining information from multiple parts of the given context to fully understand the steps involved."
