context,question,Chosen_Strategy,Model_Reason,Ground_Truth_Answer
"Huyết khối tĩnh mạch sâu là tình trạng cục máu đông hình thành trong tĩnh mạch sâu. Đây thường là tĩnh mạch của chân, mặc dù nó cũng có thể xảy ra ở tĩnh mạch của cánh tay. Các yếu tố nguy cơ gây huyết khối tĩnh mạch sâu, bao gồm: - Bất động lâu.
- Ung thư.
- Béo phì.
- Tổn thương mạch máu do chấn thương.
- Và các rối loạn bẩm sinh dễ gây ra cục máu đông. Tình trạng này có thể khiến cho phần chi bị ảnh hưởng sưng lên, gây đau. Trong trường hợp xấu nhất, huyết khối tĩnh mạch sâu có thể vỡ ra và đi vào phổi, gây thuyên tắc phổi. Quyết định điều trị huyết khối tĩnh mạch sâu phụ thuộc vào kích thước của cục huyết khối, các triệu chứng và các yếu tố nguy cơ của một người. Các biện pháp điều trị thường liên quan đến việc chống đông máu để ngăn ngừa cục máu đông, hoặc để giảm kích thước của cục máu đông.","Nếu không được điều trị, huyết khối tĩnh mạch sâu có thể dẫn đến những biến chứng gì?",COMPLEX,,"Nếu không được điều trị, huyết khối tĩnh mạch sâu có thể khiến cho phần chi bị ảnh hưởng sưng lên, gây đau. Trong trường hợp xấu nhất, cục huyết khối có thể vỡ ra và đi vào phổi, gây thuyên tắc phổi."
"Nấm lim xanh rừng mang nhiều giá trị đối với sức khỏe chúng ta. Chính vì vậy, người dùng luôn muốn tìm mua nấm thật, đảm bảo chất lượng. Nấm lim xanh rừng, hay còn gọi là nấm lim xanh mọc tự nhiên có hình thù xù xì, không bắt mắt. Trong khi đó, nấm được trồng nhân tạo lại có bề ngoài bắt mắt, màu sắc đẹp, thu hút cùng bề mặt nhẵn min. Nấm lim xanh rừng thật có mũ nấm và chân nấm thẳng hàng với nhau; còn nấm giả thì mũ nấm và chân nấm sẽ vuông góc. Lý giải điều này, nấm mọc lên từ thân cây gỗ lim, đâm ngang ra song song với mặt đất. Đây là loại nấm phá gỗ, phân hủy gỗ để lấy dưỡng chất, cho nên nấm phải sinh trưởng trên thân gỗ thì mới đảm bảo đủ chất dinh dưỡng. Còn nấm giả thì tán nấm gần như vuông góc với thân bởi mọc từ dưới đất mọc lên. Khi đó, nấm sẽ không được đảm bảo có nguồn gốc từ loại cây gì cũng như không thể lấy chất dinh dưỡng từ thân gỗ lim. Về mùi vị, nấm lim xanh tự nhiên có vị rất đắng. Vị đắng này sẽ đọng lại nơi cuống họng trong thời gian dài sau khi sử dụng.",Nấm lim xanh tự nhiên và nấm lim xanh trồng nhân tạo có điểm khác biệt gì về hình thức?,COMPLEX,,"Nấm lim xanh rừng có hình thù xù xì, không bắt mắt, trong khi nấm lim xanh trồng nhân tạo lại có bề ngoài bắt mắt, màu sắc đẹp, thu hút cùng bề mặt nhẵn mịn."
"Những xét nghiệm hình ảnh cho phép bác sĩ xác định xem có khối u hay không, cũng như kích thước, vị trí và mức độ của khối u. Các xét nghiệm này cũng có thể phát hiện sự lây lan của ung thư vào các cấu trúc gần đó. Những lựa chọn gồm: - X-quang ngực.
- CT-Scan.
- MRI.
- PET-CT.
- X-quang cản quang barium đường tiêu hóa trên.
- Panorex.","Ngoài chẩn đoán vị trí của khối u, những xét nghiệm hình ảnh có thể phát hiện tình trạng gì?",COMPLEX,,Sự lây lan của ung thư vào các cấu trúc gần đó.
"Nước sắc Bán biên liên dùng bằng đường uống có tác dụng gây tẩy nhẹ. Lobelin trên tiêu bản ruột thỏ cô lập, với liều thấp có tác dụng tăng cường trương lực và nhu động ruột, liều cao lại gây liệt ruột. Lobelin dùng bằng đường uống còn có tác dụng gây chán ăn. Với nồng độ 15mcg/ml, Lobelin có tác dụng ức chế tế bào ung thư u báng chuột nhắt trắng hấp thu oxy. Thí nghiệm trên ống kính, nước sắc cây có tác dụng ức chế một số nấm thông thường gây bệnh ngoài da.",Chỉ rõ tác dụng khi dùng nước sắc Bán biên liên theo y học hiện đại?,COMPLEX,,Nước sắc Bán biên liên có tác dụng gây tẩy nhẹ.
"Không dùng đồng thời với các thuốc chứa carbocistein khác để tránh vượt quá liều khuyến cáo.1 Không dùng kèm với các thuốc giảm đau không steroid, steroid và các thuốc kháng tiểu cầu (clopidogrel, ticagrelor,…) do làm tăng nguy cơ chảy máu đường tiêu hóa và loét dạ dày, tá tràng.3",Trong những trường hợp nào không nên dùng thuốc Carflem?,COMPLEX,,"Không dùng thuốc Carflem đồng thời với các thuốc chứa carbocistein khác để tránh vượt quá liều khuyến cáo.1 Không dùng kèm với các thuốc giảm đau không steroid, steroid và các thuốc kháng tiểu cầu (clopidogrel, ticagrelor,…) do làm tăng nguy cơ chảy máu đường tiêu hóa và loét dạ dày, tá tràng."
" Phòng ngừa bệnh sốt xuất huyết Lassa dựa vào việc thúc đẩy “vệ sinh cộng đồng” tốt để ngăn chặn các loài gặm nhấm vào nhà. Các biện pháp hiệu quả bao gồm: - Lưu trữ ngũ cốc và thực phẩm khác trong các thùng chứa chống chuột bọ,
- Vứt rác xa nhà, duy trì hộ gia đình sạch sẽ
- Nuôi mèo Bởi vì không thể loại bỏ chuột Mastomys hoàn toàn khỏi môi trường. Các thành viên trong gia đình phải luôn cẩn thận, tránh tiếp xúc với máu và dịch cơ thể khi chăm sóc người bệnh.   ",Các thành viên trong gia đình cần lưu ý điều gì khi chăm sóc người bệnh mắc sốt xuất huyết Lassa?,COMPLEX,,"Khi chăm sóc người bệnh mắc sốt xuất huyết Lassa, các thành viên trong gia đình cần cẩn thận, tránh tiếp xúc với máu và dịch cơ thể của người bệnh."
"Thành phần cây Gáo có chứa triterpene glycoside là naucleosid và noreugenin. Lá chứa các alkaloid là 10 hydroxy strictosamid và 6’ O acetyl strictosamid, vincosamid. Ngoài ra còn có β sitosterol, acid palmitic. Vỏ, lá và gỗ đều chứa các chất đắng.","Ngoài triterpene glycoside và alkaloid, lá cây Gáo còn chứa thành phần nào khác?",COMPLEX,,"Ngoài triterpene glycoside và alkaloid, lá cây Gáo còn chứa β sitosterol và acid palmitic."
"2.4.1 Cơn động kinh co cứng Trong cơn co cứng , các cơ thường co cứng lại và người bệnh bị mất ý thức. Việc co thắt các cơ vùng ngực sẽ khiến cho người bệnh cảm thấy khó thở và môi, mặt có thể trở nên tím tái. 2.4.2 Cơn động kinh co giật Cơn động kinh co giật sẽ khiến cho các cơ của người đó bị giật và co thắt. Các cơ ở khuỷu tay, chân, cổ bị co lại và sau đó dãn ra nhanh chóng. Khi cơn động kinh giảm dần thì sự giật cơ chậm dần. và cuối cùng ngừng hẳn. Sau khi giật cơ ngừng hẳn, người bệnh thường thở sâu trước khi thở lại như bình thường. 2.4.3 Cơn co cứng, co giật Cơn động kinh co cứng – co giật xảy ra khi co cứng và co giật xảy ra cùng lúc. Nếu bạn bị cơn co cứng- co giật, một số hoặc tất cả các triệu chứng sau có thể xảy ra cùng một lúc - Có một cảm giác lạ thoáng qua ví dụ như đột nhiên la hét hoặc khóc
- Tiêu tiểu không tự chủ trong hoặc sau cơn động kinh
- Sau cơn có thể cảm thấy lú lẫn hoặc buồn ngủ
- Đau đầu dữ dội sau cơn động kinh Thông thường, một người có cơn động kinh co cứng – co giật sẽ bị cứng và té ngã trong pha cứng. Tứ chi và mặt sẽ giật nhanh và co cơ trong pha co giật. 2.4.4 Sau cơn động kinh co cứng co giật Một cơn động kinh điển hình thường kéo dài một vài phút hoặc ít hơn, sau đó người bệnh có thể chưa tỉnh trong vài phút hoặc hơn tùy thuộc vào cường độ của cơn động kinh. Đây gọi là giai đoạn hậu cơn động kinh, trong giai đoạn này não bộ hoạt động để cố gắng kiềm chế các xung điện bất thường và kiểm soát cơn động kinh. Sau cơn động kinh, người bệnh tỉnh lại có thể cảm thấy đau, mệt mỏi, sợ hãi và lú lẫn. Trấn an và nâng đỡ là điều mà những người chứng kiến có thể thực hiện. Một vài lưu ý cần nhớ Mặc dù chứng kiến một cơn động kinh có vẻ rất đáng sợ và có một truyền thuyết rằng những người có cơn động kinh có nguy cơ cắt phải lưỡi. Điều này hoàn toàn không thể xảy ra. KHÔNG nên đặt bất cứ thứ gì vào miệng hoặc cố gắng mở miệng của bệnh nhân khi họ đang trong cơn động kinh. Bởi việc làm này có thể gây hại cho người bệnh.",Cơn động kinh co giật có dấu hiệu như thế nào?,COMPLEX,,"Cơn động kinh co giật sẽ khiến cho các cơ của người đó bị giật và co thắt. Các cơ ở khuỷu tay, chân, cổ bị co lại và sau đó dãn ra nhanh chóng."
"Trường hợp quên dùng thuốc, hãy uống càng sớm càng tốt khi nhớ ra. Tuy nhiên, nếu gần với liều kế tiếp, hãy bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch. Không uống bù hai liều trong cùng một lần.",Nếu thời điểm nhớ quên thuốc Cefurobiotic lại gần với liều tiếp theo thì nên làm gì?,COMPLEX,,"Nếu gần với liều kế tiếp, bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch."
"Hiện vẫn chưa có đầy đủ nghiên cứu trên người. Tuy nhiên: - Phụ nữ có thai, cho con bú: Lưu ý chỉ nên sử dụng thuốc trong thời gian có thai và cho con bú khi thật cần thiết. Nghĩa là sau khi đã cân nhắc thật kĩ giữa lợi ích và nguy cơ cẩn thận giữa mẹ và bé.
- Người vận hành máy móc: Thuốc hiếm khi gây ra tác dụng đau đầu trên người dùng thuốc. Do đó, vẫn có thể sử dụng cho người lái xe hoặc người vận hành máy móc. Tuy nhiên, dù hiếm nhưng vẫn có thể xảy ra. Do đó, nên thận trọng khi dùng.",Người lái xe và người vận hành máy móc có được sử dụng thuốc Casalmux hay không?,COMPLEX,,"Người lái xe và người vận hành máy móc vẫn có thể sử dụng thuốc Casalmux vì thuốc hiếm khi gây ra tác dụng phụ đau đầu. Tuy nhiên, nên thận trọng khi dùng vì vẫn có thể xảy ra tác dụng phụ này."
"Mộc thông đem về loại bỏ tạp chất, rửa sạch, ngâm trong nước, ủ mềm. Thái lát sau đó phơi hoặc sấy khô là được.","Để Mộc thông mềm, cần làm gì tiếp theo sau các bước loại bỏ tạp chất, rửa sạch?",COMPLEX,,"Để có được Mộc thông mềm, cần ngâm trong nước và ủ cho mềm trước khi thái lát."
"Một số thuốc khi uống vào có thể gây nóng rát dạ dày. Sự nóng rát có thể là trực tiếp cho thuốc kích ứng niêm mạc dạ dày. Cũng có thể gián tiếp từ tác dụng của thuốc làm tăng axit dạ dày, làm giảm chất nhầy bảo vệ dạ dày. Một số thuốc thường gặp có thể gây nóng rát bao tử bao gồm: - Nhóm thuốc kháng viêm Corticoide như: Prednisolon, Prednisone, Methylprednisolon,…
- Các thuốc kháng viêm Non Steroid như: Diclofenac, Meloxicam, Naproxen, Aspirin,…
- Thuốc kháng histamin H1 như: Chlopheniramin, Cetirizin, Fexofenadin,…
- Thuốc kích thích thần kinh phó giao cảm như: Cisapride, Isopride,…
- Các thuốc long đờm, làm loãng chất nhầy như: Bromhexin, Acetyl Cystein, Ambroxol,…",Sử dụng một số thuốc gây tăng axit dạ dày có thể dẫn đến tình trạng gì?,COMPLEX,,Sử dụng một số thuốc gây tăng axit dạ dày có thể dẫn đến tình trạng nóng rát dạ dày.
"- Giai đoạn 1A: Khối u nguyên phát rộng từ 2 cm trở xuống và các hạch bạch huyết không bị ảnh hưởng.
- Giai đoạn 1B: Ung thư được tìm thấy trong các hạch bạch huyết gần đó và không có khối u ở vú hoặc khối u nhỏ hơn 2 cm.",Giai đoạn 1B của ung thư vú có đặc điểm gì?,COMPLEX,,"Trong giai đoạn 1B, ung thư được tìm thấy trong các hạch bạch huyết gần đó nhưng không có khối u ở vú hoặc khối u nhỏ hơn 2 cm."
"Nếu bạn gặp bất kỳ điều gì bất thường ở vùng xương chậu, chẳng hạn như chảy máu giữa kì kinh hoặc đau bụng dưới không rõ nguyên nhân, hoặc các biểu hiện đã nêu ở phần trên, hãy hẹn gặp bác sĩ. Nếu không được điều trị, một số tình trạng vùng chậu có thể ảnh hưởng lâu dài đến sức khỏe và khả năng sinh sản của bạn. Vùng chậu chứa nhiều cơ quan quan trọng, đặc biệt là các cơ quan sinh sản. Chăm sóc giữ gìn, đặc biệt nhận biết các bất thường liên quan đến vùng chậu là cách để bảo vệ sức khỏe sinh sản bản thân.",Tại sao nên chăm sóc sức khỏe vùng chậu?,COMPLEX,,"Vùng chậu chứa nhiều cơ quan quan trọng, đặc biệt là các cơ quan sinh sản. Chăm sóc giữ gìn, đặc biệt nhận biết các bất thường liên quan đến vùng chậu là cách để bảo vệ sức khỏe sinh sản bản thân."
"Dựa trên các nghiên cứu hiện có, liều lượng an toàn của sâm tố nữ bổ sung trong chế độ ăn uống cho người là 1-2 mg/kg thể trọng/ngày hoặc khoảng 50-100 mg/ngày.4 Lưu ý: sử dụng liều cao hơn 200 mg/kg thể trọng/ngày gây tăng sinh tế bào trong tuyến vú. Nếu dùng trong thời gian ngắn có thể tăng trọng lượng tử cung, giãn nở, xuất huyết và viêm thành tử cung. Nếu dùng liều này kéo dài có thể sinh ung thư nội mạc tử cung, tuyến vú. Vì vậy, liều lượng tối ưu cho mục đích sử dụng cần được tính toán trước để tránh tác dụng phụ không mong muốn.","Để tránh tác dụng phụ không mong muốn, liều lượng tối ưu cho mục đích sử dụng sâm tố nữ cần được xác định như thế nào?",COMPLEX,,"Để tránh tác dụng phụ không mong muốn, liều lượng tối ưu cho mục đích sử dụng sâm tố nữ cần được tính toán trước."
"Là thời gian từ lúc phẩy khuẩn tả xâm nhập cơ thể đến khi có các triệu chứng đầu tiên. Đây là lúc vi khuẩn sinh sôi phát triển, tích lũy độc tố trong cơ thể. Thời kỳ ủ bệnh của tả không có triệu chứng. Thường kéo dài từ 6 – 48 giờ, tối đa 5 ngày. Dù chưa có biểu hiện, thời kỳ này mầm bệnh vẫn có thể phát tán và lây lan.",Thời kỳ ủ bệnh tả có thể kéo dài đến bao nhiêu ngày?,COMPLEX,,"Thường kéo dài từ 6 – 48 giờ, tối đa 5 ngày."
