Context,Question,Chosen_Strategy,Model_Reason
"Khởi phát triệu chứng mất ngủ có thể gặp ở bất kì giai đoạn nào trong cuộc đời, nhưng giai đoạn đầu tiên thường phổ biến ở những người trẻ. Ít khi, mất ngủ ngủ xảy ra ở trẻ em và trẻ vị thành niên. Ở phụ nữ, một khởi phát mất ngủ mới có thể xảy ra thời kì mãn kinh và có thể kéo dài dù những triệu chứng mãn kinh khác không còn nữa như cảm giác bốc hỏa. Mất ngủ có thể khởi phát ở giai đoạn trễ của cuộc đời liên quan đến khởi phát những tình trạng y khoa liên quan. Mất ngủ có thể là một trạng thái cấp, dai dẳng hay tái phát. Một mất ngủ cấp thường kéo dài vài ngày hay vài tuần thường liên quan đến những sự kiện trong đời sống hoặc thay đổi đồng hồ sinh học hoặc môi trường sống. Đối với một vài cá nhân, mất ngủ có thể được giải quyết khi những sự kiện đó mất đi. Đối với một vài trường hợp khác, mất ngủ có thể kéo dài dai dẳng dù sự kiện khởi phát đã không còn. Những yếu tố làm mất ngủ có thể khác với những yếu tố gây mất ngủ kéo dài. Ví dụ một người nằm liệt giường kèm đau do chấn thương và khó ngủ có thể phát triển những yếu tố bất lợi đối với giấc ngủ. Tình trạng thức tỉnh có thể dai dẳng và dẫn đến mất ngủ dai dẳng. Một diễn tiến tương tự có thể tiến triển trong bối cảnh của một stress tâm lý hoặc rối loạn tâm thần. Ví dụ, mất ngủ có thể xảy ra trong một giai đoạn đầu tiên của rối loạn trầm cảm chủ yếu có thể trở thành tâm điểm của tập trung với những tình trạng kết quả âm tính, và dai dẳng sau khi giai đoạn trầm cảm được giải quyết. Trong một trường hợp cũng có thể khởi phát âm thầm mà không có yếu tố thúc đẩy. Diễn tiến của mất ngủ có thể là những giai đoạn với những đợt tái phát liên quan đến những sự kiện stress. Tỉ lệ mãn tính từ 45 – 75% cho những case theo dõi từ 1 – 7 năm. Đặc điểm của mất ngủ có thể thay đổi theo thời gian. Nhiều cá nhân rối loạn giấc ngủ nhẹ trước khi có những vấn đề dai dẳng về giấc ngủ. Những than phiền về giấc ngủ thường gặp ở trung niên và người già. Những dạng của triệu chứng mất ngủ thay đổi theo tuổi, khó vào giấc ngủ thường gặp ở người trẻ trưởng thành, khó duy trì giấc ngủ thường gặp ở người trung niên và người già. Khó đi vào giấc ngủ hoặc duy trì giấc ngủ có thể xảy ra ở trẻ em và trẻ vị thành niên nhưng hạn chế các số liệu về tỉ lệ hiện mắc, yếu tố nguy cơ và bệnh đi kèm trong những pha phát triển của cuộc đời. Khó ngủ ở trẻ em có thể là kết quả từ những yếu tố (trẻ không được học cách đi vào giấc ngủ và duy trì giấc ngủ nếu không có sự hiện diện của bố mẹ) hoặc không có thời gian biểu ngủ cố định và thói quen đi ngủ. Mất ngủ ở trẻ vị thành niên có thể là do thời gian biểu ngủ không đều đặn. Cả trẻ em lẫn trẻ vị thành niên, những yếu tố tâm lý và khoa có thể dẫn đến mất ngủ. Tỉ lệ mắc của mất ngủ ở những người già gia tăng được giải thích một phần là do tăng những tỉ lệ mắc những vấn đề sức khoẻ sinh lý liên quan đến tuổi. Sự thay đổi trong mô hình ngủ liên quan đến tiến trình phát triển bình thường phân biệt với những thay đổi quá mức liên quan đến tuổi. Mặc dù đa giấc ngủ kí có những hạn chế trong đánh giá mất ngủ thường quy,nhưng có có thể hữu ích trong chẩn đoán phân biệt ở người lớn bởi nguyên nhân mất ngủ (ví dụ ngưng thở khi ngủ) thường được thấy ở người già. Có phải bạn đang tìm cách để có một giấc ngủ ngon? Xem ngay bài viết: Bác sĩ mách bạn 9 cách dễ ngủ cực hiệu quả nhé!",Những đối tượng thường gặp chứng mất ngủ?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to identify the broad categories of people who are most likely to experience insomnia."
"Chọc hút tế bào bằng kim nhỏ được xem là thủ thuật chấn đoán hàng đầu một nhân giáp. Đây là phương tiện khá an toàn và xâm lấn tối thiểu. Chỉ định thực hiện sinh thiết bằng kim nhỏ (FNAB) tuỳ thuộc vào kích thước và những đặc điểm ghi nhận trên siêu âm của nhân giáp: Theo NCCN, FNAB khi nhân >1 cm rất nghi ngờ trên siêu âm, ≥ 1,5 cm nhân nghi ngờ trung bình trên siêu âm và ≥2,5 cm nghi ngờ ít trên siêu âm. Theo ATA, FNAB cho những nhân >0,5 cm đường kính. Còn theo ESMO, FNAB cho những nhân >1 cm.2",Khi nào thì cần thực hiện thủ thuật chọc hút tế bào bằng kim nhỏ để chẩn đoán bệnh ung thư biểu mô tuyến giáp thể nang?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to form a new conclusion about the indications for FNAB in thyroid nodule cancer."
"Tiên lượng bệnh thay đổi phụ thuộc vào tiến triển và thể bệnh:18 - Thể cấp: bệnh thường tiến triển nhanh, gây nhiều nhiều tổn thương cơ quan và thậm chí là tử vong sau vài tháng.
- Thể mạn: thể bệnh này thường tiến triển chậm, tiên lượng tốt hơn.
- Thể bán cấp: tiến triển từng đợt trên nền bệnh ổn định. Đợt sau thường ngày càng nặng dần. Tình trạng bệnh có thể nặng thêm nếu bệnh nhân đang có thai, nhiễm khuẩn, chấn thương, phẫu thuật, stress, lạm dụng thuốc. Thời gian sống trung bình 5 – 10 năm. Bệnh lupus ban đỏ hệ thống thường gặp, biểu hiện đa dạng ở nhiều chuyên khoa. Hiện tại, một số cơ sở y tế tại Việt Nam cập nhật điều trị bệnh nhân Lupus theo những phác đồ cập nhật nhất trên thế giới với sự phối hợp giữa hai thuốc cơ bản là corticoid, thuốc kháng sốt rét và các nhóm thuốc ức chế miễn dịch mới. Vì vậy, hãy tuân thủ theo phác đồ điều trị và sự hướng dẫn của nhân viên y tế để giảm thiểu nguy cơ diễn tiến nặng, vô đợt bùng phát của bệnh và có thể sống an toàn với bệnh lupus.",Tiên lượng bệnh Lupus ban đỏ thể cấp như thế nào?,SIMPLE,"The answer is explicitly stated in the given context as ""bệnh thường tiến triển nhanh, gây nhiều nhiều tổn thương cơ quan và thậm chí là tử vong sau vài tháng."""
"Kết quả của các thử nghiệm lâm sàng bao gồm cả xạ trị và hóa trị thường báo cáo tỷ lệ sống lâu dài là 50-80%. Trong một nghiên cứu, tỷ lệ sống sót sau 5 năm là 42% chỉ với xạ trị và 58% khi điều trị bằng hóa trị. Ung thư vòm họng sống được bao lâu luôn là nỗi lo lắng chung của các bệnh nhân. Liệu có con số cụ thể nào để trả lời cho câu hỏi này? Mời bạn cùng YouMed tìm hiểu về vấn đề này qua bài viết Ung thư vòm họng sống được bao lâu? nhé!",Tỷ lệ sống sót sau 5 năm khi điều trị ung thư vòm mũi họng bằng phương pháp hóa trị là bao nhiêu?,SIMPLE,"The answer can be directly extracted from the text stating ""58% khi điều trị bằng hóa trị."""
"Những trường hợp rất nhẹ, hầu như không ảnh hưởng gì đến sức khỏe, đó là khi ngoại tâm thu ít, thưa, xuất hiện ở người trẻ tuổi, khám không có bệnh tim gì khác. Khi đó người bệnh thường không cần phải điều trị, chỉ cần bỏ thuốc lá và rượu, sống điều độ, tránh những cảm xúc mạnh, nếu cần có thể phải giảm bớt lao động cả trí óc lẫn chân tay,… Những trường hợp bệnh nặng hơn, ngoại tâm thu xuất hiện dày, kèm theo cảm giác khó thở, mệt mỏi, trống ngực… Khi đó, người bệnh cần phải được điều trị và sử dụng thuốc. Trường hợp này, bệnh có thể tiến triển nặng dần, làm giảm hiệu quả bơm máu của tim, khiến tim phải làm việc nhiều hơn bình thường và lâu ngày có thể dẫn đến suy tim. Những trường hợp ngoại tâm thu xuất hiện trên “nền” của những bệnh tim khác. Khi đó, ngoại tâm thu có thể nguy hiểm hơn và thường liên quan chặt chẽ đến khả năng làm tăng nguy cơ đột tử. Lúc này, cần phải tập trung chữa các bệnh lý chính, chữa ngoại tâm thu chỉ là một phần trong điều trị.","Trong trường hợp ngoại tâm thu nhẹ, người bệnh cần phải làm gì?",SIMPLE,"The question can be directly answered by the information provided in the first sentence of the context, which states the actions to be taken for a mild case of myocardial ischemia."
"Điều trị ngoại khoa chỉ được áp dụng trong những trường hợp điều trị nội khoa thất bại. Hoặc trong một số bệnh lý cần phải phẫu thuật, chẳng hạn như: - Ung thư dạ dày.
- Thủng dạ dày.
- Xuất huyết dạ dày thất bại với điều trị nội khoa.
- Phẫu thuật cắt bỏ khối u tiết Gastrin trong hội chứng Zollinger – Ellison. Xem thêm: Trào ngược dịch mật có phải là trào ngược dạ dày thực quản?",Điều trị ngoại khoa thường được áp dụng trong những trường hợp nào?,SIMPLE,"The question can be directly answered by extracting information from the given context, which explicitly states the conditions under which external treatment (外科学) is applied."
"Hàm lượng của các hợp chất trong Thục địa thay đổi tùy thuộc vào số lần hấp, sấy và phương pháp làm khô. Trong Thục địa, người ta tìm thấy các chất sau: Catalpol, Galactose, Glucose và Fructose, Maltose và Sucrose. Ngoài ra còn có các loại chất béo thô và protein thô.",Những loại chất nào được tìm thấy trong Thục địa?,SIMPLE,The answer can be directly extracted from the text by listing the types of substances found in Thục địa.
"Nếu dính thuốc ở mắt, mũi, niêm mạc, phải rửa ngay với nước sạch 15 phút. Nếu quá liều xảy ra khi nuốt phải axit salicylic, triệu chứng ngộ độc thường biểu hiện khác nhau tùy từng người như thở sâu, nhanh, ù tai, điếc, giãn mạch, ra mồ hôi.1 Bạn cần đến ngay cơ sở y tế gần nhất để được xử trí khi dùng quá liều thuốc.",Triệu chứng ngộ độc khi nuốt phải axit salicylic có thể biểu hiện ra sao?,SIMPLE,The answer can be directly extracted from the text as it explicitly states the symptoms of overdose when acetic acid is swallowed.
Bạn cần đọc kỹ hướng dẫn trước khi sử dụng. Thuốc chỉ dùng theo sự kê toa của chuyên gia y tế.,Tôi có nên đọc hướng dẫn sử dụng trước khi dùng thuốc Atelec không?,SIMPLE,The answer can be directly extracted from the given context as it explicitly states whether to read the instructions or not.
"Khi đã thử các phương pháp trên nhưng xương vẫn bị mắc trong cổ họng và tình trạng người bị hóc xương có dấu hiệu nghiêm trọng nên ngay lập tức đến gặp bác sĩ để được gắp ra. Hoặc đối với những mẩu xương lớn hay nằm sâu, không nên tự xử lý ở nhà. Nếu xương cá nằm sâu trong thực quản và không được xử trí, nó có thể dẫn đến những biến chứng nguy hiểm. Nên đến khám bác sĩ ngay khi có các triệu chứng sau đây: - Khó thở, thở rít sau hóc xương.
- Cơn đau sau hóc xương tăng dần và không biến mất sau vài ngày.
- Đau ngực.
- Sưng nề vùng cổ, họng.
- Bầm tím.
- Chảy nước miếng nhiều.
- Không thể ăn hay uống.","Hiện tượng khó thở, thở rít sau hóc xương có nguy hiểm không?",SIMPLE,The question can be directly answered by identifying the information provided in the context about the symptoms of difficulty breathing after a bone is inhaled.
