user_input,retrieved_contexts,response,reference,factual_correctness(mode=f1),faithfulness,semantic_similarity
Nấm lim xanh tự nhiên và nấm lim xanh trồng nhân tạo có điểm khác biệt gì về hình thức?,"['Nấm lim xanh rừng mang nhiều giá trị đối với sức khỏe chúng ta. Chính vì vậy, người dùng luôn muốn tìm mua nấm thật, đảm bảo chất lượng. Nấm lim xanh rừng, hay còn gọi là nấm lim xanh mọc tự nhiên có hình thù xù xì, không bắt mắt. Trong khi đó, nấm được trồng nhân tạo lại có bề ngoài bắt mắt, màu sắc đẹp, thu hút cùng bề mặt nhẵn min. Nấm lim xanh rừng thật có mũ nấm và chân nấm thẳng hàng với nhau; còn nấm giả thì mũ nấm và chân nấm sẽ vuông góc. Lý giải điều này, nấm mọc lên từ thân cây gỗ lim, đâm ngang ra song song với mặt đất. Đây là loại nấm phá gỗ, phân hủy gỗ để lấy dưỡng chất, cho nên nấm phải sinh trưởng trên thân gỗ thì mới đảm bảo đủ chất dinh dưỡng. Còn nấm giả thì tán nấm gần như vuông góc với thân bởi mọc từ dưới đất mọc lên. Khi đó, nấm sẽ không được đảm bảo có nguồn gốc từ loại cây gì cũng như không thể lấy chất dinh dưỡng từ thân gỗ lim. Về mùi vị, nấm lim xanh tự nhiên có vị rất đắng. Vị đắng này sẽ đọng lại nơi cuống họng trong thời gian dài sau khi sử dụng.']","- Nấm lim xanh tự nhiên có hình dạng tự nhiên, không đều.
- Nấm lim xanh trồng nhân tạo có hình dạng đều đặn, thường được cắt thành hình chữ nhật.","Nấm lim xanh rừng có hình thù xù xì, không bắt mắt, trong khi nấm lim xanh trồng nhân tạo lại có bề ngoài bắt mắt, màu sắc đẹp, thu hút cùng bề mặt nhẵn mịn.",0.5,0.75,0.9451324946236447
Viêm tuyến giáp bán cấp là gì?,"['Đầu tiên, chúng ta hãy cùng tìm hiểu viêm tuyến giap là gì. Viêm tuyến giáp (gọi tắt là viêm giáp) là tình trạng bệnh lý đặc trưng bởi sự thấm nhuận các tế bào viêm hoặc mô xơ ở tuyến giáp bị viêm.1 2 Viêm giáp được chia thành nhiều loại khác nhau theo bảng sau:2 3 Viêm giáp bán cấp là viêm giáp gây đau thường gặp nhất trên lâm sàng. Viêm giáp bán cấp còn có các tên gọi khác như: viêm tuyến giáp do virus, viêm tuyến giáp u hạt bán cấp, viêm tuyến giáp giả lao, viêm tuyến giáp tế bào khổng lồ, viêm tuyến giáp De Quervain.3']","Viêm tuyến giáp bán cấp là tình trạng viêm nhẹ của tuyến giáp, thường do vi khuẩn gây ra.",Viêm tuyến giáp bán cấp là viêm giáp gây đau thường gặp nhất trên lâm sàng.,0.0,0.0,0.9446175516674049
Trong những tháng nào người ta thu hoạch sâm tố nữ?,"['- Dược liệu được tìm thấy nhiều ở những vùng đồi núi phía bắc Thái Lan. Ngoài ra, dược liệu này còn phân bố nhiều ở các khu vực Đông Nam Á.\n- Người ta thu hoạch sâm tố nữ vào tháng 10 – 12.1']",Người ta thu hoạch sâm tố nữ vào những tháng từ tháng 11 đến tháng 2.,Người ta thường thu hoạch sâm tố nữ vào tháng 10 – 12.,0.57,0.0,0.9553170515372732
Bác sĩ sẽ thực hiện mấy giai đoạn để điều trị hội chứng thiểu sản tim trái?,"[' Bé có thể cần vài cuộc phẫu thuật để điều trị bệnh. Bác sĩ phẫu thuật sẽ thực hiện quá trình gồm có ba giai đoạn. Những cuộc phẫu thuật này được thực hiện để giúp dòng máu chảy bình thường, đi ra khỏi tim và đưa máu giàu oxy đi đến các cơ quan trong cơ thể.  Một lựa chọn phẫu thuật khác, đó chính là ghép tim, đặc biệt khi có các khuyết tật tim khác rất phức tạp. Bé mắc hội chứng thiểu sản tim trái có thể được cân nhắc ghép tim. Sau khi ghép tim, bé cần sử dụng một thời gian dài để tránh tình trạng đào thải tạng hiến. ']","Bác sĩ sẽ thực hiện ba giai đoạn để điều trị hội chứng thiểu sản tim trái:

1. Điều trị triệu chứng
2. Điều trị nguyên nhân
3. Điều trị dự phòng và cải thiện chức năng tim",Bác sĩ phẫu thuật sẽ thực hiện quá trình gồm có ba giai đoạn.,0.0,0.25,0.8958583779057181
"Ngoài chẩn đoán vị trí của khối u, những xét nghiệm hình ảnh có thể phát hiện tình trạng gì?","['Những xét nghiệm hình ảnh cho phép bác sĩ xác định xem có khối u hay không, cũng như kích thước, vị trí và mức độ của khối u. Các xét nghiệm này cũng có thể phát hiện sự lây lan của ung thư vào các cấu trúc gần đó. Những lựa chọn gồm: - X-quang ngực.\n- CT-Scan.\n- MRI.\n- PET-CT.\n- X-quang cản quang barium đường tiêu hóa trên.\n- Panorex.']","Những xét nghiệm hình ảnh có thể phát hiện kích thước, hình dạng và vị trí chính xác của khối u.",Sự lây lan của ung thư vào các cấu trúc gần đó.,0.86,0.6666666666666666,0.8171918093921832
Sốt thấp khớp có thể gây ra hậu quả gì?,"['Loại bệnh này có thể gây ra những tổn thương nghiêm trọng ở tim, đặc biệt là van tim. Van hay bị tổn thương nhất là loại van nằm ở giữa buồng tim trái, còn gọi là van hai lá. Tuy nhiên, các van khác vẫn có thể bị ảnh hưởng. Tổn thương có thể gây ra: - Hẹp van: Làm cản trở dòng máu chảy trong các buồng của tim.\n- Hở van: Làm dòng máu qua các buồng tim không được chảy đúng cách.\n- Tổn thương cơ tim: Tinh trạng viêm gây ra bởi sốt thấp khớp có thể làm yếu cơ tim. Điều này ảnh hưởng đến khả năng bơm máu của tim. Tổn thương van hai lá và các van khác hoặc tổn thương cơ tim có thể ảnh hưởng đến chức năng tim sau này với các hậu quả như: - Nhịp tim không đều do rung nhĩ.\n- Suy tim.']","Sốt thấp khớp có thể gây ra các hậu quả sau:

1. Ảnh hưởng đến chất lượng cuộc sống
2. Gây mất ngủ và mệt mỏi
3. Tăng nguy cơ mắc các bệnh mãn tính
4. Giảm khả năng làm việc và học tập
5. Tăng nguy cơ lo âu và trầm cảm","Sốt thấp khớp có thể gây ra những tổn thương nghiêm trọng ở tim, đặc biệt là van tim.",0.22,0.3333333333333333,0.909576259394496
Nên lưu ý gì khi sử dụng Calcrem?,"['Chỉ bôi ngoài da. Tránh dây vào mắt, mũi, miệng. Nếu có tình trạng kích ứng (ửng đỏ, ngứa, nóng rát, phồng rộp, sưng phủ) hay mẫn cảm (cảm giác rát, nổi mẩn đỏ và ngứa), ngưng điều trị và thay bằng thuốc khác. Không sử dụng thuốc khi đã quá hạn ghi trên nhãn.']","Nên lưu ý:

1. Không dùng cho phụ nữ có thai và trẻ em dưới 18 tuổi.
2. Không dùng khi đang có vấn đề về gan hoặc thận.
3. Không dùng quá liều khuyến cáo.
4. Có thể gây buồn ngủ, nên tránh vận hành xe hoặc điều khiển máy móc.
5. Không dùng cho người có tiền sử dị ứng với thuốc.
6. Nếu quên dùng, nên dùng ngay khi nhớ ra, trừ khi gần bữa ăn kế tiếp.","Khi sử dụng Calcrem, bạn cần lưu ý không để thuốc dây vào mắt, mũi, miệng. Nếu có tình trạng kích ứng hoặc mẫn cảm, hãy ngừng điều trị và thay bằng thuốc khác.",0.0,0.14285714285714285,0.8664894026937029
"Khi sắc thuốc chữa viêm lợi, nên sắc rễ cây Nổ đặc tới mức nào?","['Chuẩn bị: Rễ cây Nổ. Thực hiện: Sắc lấy nước đặc, đem ngậm súc miệng và nhổ đi.']","Khi sắc thuốc chữa viêm lợi, nên sắc rễ cây Nổ đặc tới mức thuốc đặc thành bột mịn.",Nên sắc rễ cây Nổ lấy nước đặc.,0.0,0.25,0.8886892475366988
Chỉ rõ tác dụng khi dùng nước sắc Bán biên liên theo y học hiện đại?,"['Nước sắc Bán biên liên dùng bằng đường uống có tác dụng gây tẩy nhẹ. Lobelin trên tiêu bản ruột thỏ cô lập, với liều thấp có tác dụng tăng cường trương lực và nhu động ruột, liều cao lại gây liệt ruột. Lobelin dùng bằng đường uống còn có tác dụng gây chán ăn. Với nồng độ 15mcg/ml, Lobelin có tác dụng ức chế tế bào ung thư u báng chuột nhắt trắng hấp thu oxy. Thí nghiệm trên ống kính, nước sắc cây có tác dụng ức chế một số nấm thông thường gây bệnh ngoài da.']","- Điều trị các bệnh về khớp
- Giảm đau và viêm khớp
- Tăng cường sức khỏe xương và khớp",Nước sắc Bán biên liên có tác dụng gây tẩy nhẹ.,0.0,0.0,0.8086664834976283
Trong những trường hợp nào không nên dùng thuốc Carflem?,"['Không dùng đồng thời với các thuốc chứa carbocistein khác để tránh vượt quá liều khuyến cáo.1 Không dùng kèm với các thuốc giảm đau không steroid, steroid và các thuốc kháng tiểu cầu (clopidogrel, ticagrelor,…) do làm tăng nguy cơ chảy máu đường tiêu hóa và loét dạ dày, tá tràng.3']","Trong những trường hợp sau không nên dùng thuốc Carflem:

1. Đau bụng cấp tính
2. Viêm dạ dày cấp
3. Viêm ruột cấp
4. Viêm tụy cấp
5. Trào ngược acid
6. Viêm loét dạ dày tá tràng mãn tính

Carflem không được chỉ định cho những trường hợp trên vì có thể gây kích ứng dạ dày và ảnh hưởng đến quá trình tiêu hóa.","Không dùng thuốc Carflem đồng thời với các thuốc chứa carbocistein khác để tránh vượt quá liều khuyến cáo.1 Không dùng kèm với các thuốc giảm đau không steroid, steroid và các thuốc kháng tiểu cầu (clopidogrel, ticagrelor,…) do làm tăng nguy cơ chảy máu đường tiêu hóa và loét dạ dày, tá tràng.",0.63,0.3,0.9050254958903383
Các thành viên trong gia đình cần lưu ý điều gì khi chăm sóc người bệnh mắc sốt xuất huyết Lassa?,"[' Phòng ngừa bệnh sốt xuất huyết Lassa dựa vào việc thúc đẩy “vệ sinh cộng đồng” tốt để ngăn chặn các loài gặm nhấm vào nhà. Các biện pháp hiệu quả bao gồm: - Lưu trữ ngũ cốc và thực phẩm khác trong các thùng chứa chống chuột bọ,\n- Vứt rác xa nhà, duy trì hộ gia đình sạch sẽ\n- Nuôi mèo Bởi vì không thể loại bỏ chuột Mastomys hoàn toàn khỏi môi trường. Các thành viên trong gia đình phải luôn cẩn thận, tránh tiếp xúc với máu và dịch cơ thể khi chăm sóc người bệnh.   ']","Các thành viên trong gia đình cần rửa tay thường xuyên, tránh tiếp xúc trực tiếp với người bệnh, và nên sử dụng quần áo bảo hộ khi chăm sóc người bệnh.","Khi chăm sóc người bệnh mắc sốt xuất huyết Lassa, các thành viên trong gia đình cần cẩn thận, tránh tiếp xúc với máu và dịch cơ thể của người bệnh.",0.4,0.3333333333333333,0.8969832684973115
Làm sao để duy trì độ pH của cơ thể hơi kiềm?,"['Độ pH ở các cơ quan khác nhau trong cơ thể là không giống nhau. pH là một trong những yếu tố vô cùng quan trọng ảnh hưởng đến sức khỏe của con người. Độ pH của cơ thể có khả năng ảnh hưởng đến mọi tế bào trong cơ thể. pH của máu có tính kiềm. Bộ não, hệ tuần hoàn, thần kinh, hệ tiêu hoá… làm việc tốt ở mức độ pH thích hợp. Khi pH của cơ thể bị quá axit, cơ thể dễ bị bệnh. Ví dụ như bệnh tim mạch, lão hoá sớm, các vấn đề về thần kinh, dị ứng, ung thư. Tốt hơn hết ăn khoảng 60 – 80% thực phẩm tạo kiềm, khoảng 20 – 40% thực phẩm tạo axit. Nếu duy trì được chế độ ăn này thì pH của cơ thể hơi kiềm. Đó là điều kiện để có sức khoẻ tốt.']","Để duy trì độ pH hơi kiềm của cơ thể, bạn nên:

1. Ăn nhiều rau xanh và trái cây tươi.
2. Giảm lượng thức ăn nhanh và chất béo.
3. Tập thể dục đều đặn.
4. Giảm stress.
5. Uống đủ nước.","Để duy trì độ pH của cơ thể hơi kiềm, nên ăn khoảng 60 – 80% thực phẩm tạo kiềm, khoảng 20 – 40% thực phẩm tạo axit.",0.25,0.5,0.920270232511144
Ciprobay có mấy hàm lượng khác nhau?,"['Ciprofloxacin thuộc nhóm quinolon, nhóm kháng sinh có phổ rộng tác động được trên cả vi khuẩn gram âm và gram dương. Hoạt chất này ức chế các enzyme cần thiết cho quá trình tổng hợp gen của vi khuẩn, nên có tác dụng diệt khuẩn. Ciprobay có 3 hàm lượng là 250, 500, 750 mg.']",Ciprobay có hai hàm lượng khác nhau: 150 mg và 30ml.,"Ciprobay có 3 hàm lượng là 250, 500, 750 mg.",0.0,0.0,0.9472736447594801
Ban đỏ khi mắc hội chứng sốc nhiễm độc có đặc điểm gì?,"['Các triệu chứng có thể thấy khi người bệnh mắc hội chứng sốc nhiễm độc gồm: - Sốt cao đột ngột.\n- Tụt huyết áp.\n- Nôn ói hoặc tiêu chảy.\n- Nổi ban đỏ như bị bỏng nắng ở khắp cơ thể.\n- Lơ mơ.\n- Đau cơ.\n- Đỏ mắt, miệng và họng.\n- Co giật.\n- Đau đầu.']","Ban đỏ khi mắc hội chứng sốc nhiễm độc có đặc điểm là xuất hiện ban đỏ lan rộng, thường bắt đầu từ vùng da gần mắt và lan ra toàn thân, có thể dẫn đến sốc nhiễm độc và tử vong nếu không được điều trị kịp thời.","Ban đỏ khi mắc hội chứng sốc nhiễm độc nổi lên khắp cơ thể, giống như bị bỏng nắng.",0.67,0.6666666666666666,0.9336958485355034
Triệu chứng bất thường lượng đường trong máu liên quan đến bệnh Addison là gì?,"['Theo thời gian, bệnh Addison hay còn được gọi là suy thượng thận nguyên phát, sẽ dẫn đến các triệu chứng sau: - Mệt mỏi mãn tính và cảm giác yếu cơ.\n- Mất cảm giác ngon miệng, không có khả năng tiêu hóa thức ăn và giảm cân.\n- Huyết áp thấp (hạ huyết áp) giảm nhiều hơn khi đứng. Điều này gây ra chóng mặt, đôi khi đến mức ngất xỉu.\n- Xuất hiện các vết nám, sạm đen và tàn nhang trên da.\n- Da sẫm màu đặc biệt xảy ra nhiều ở vùng trán, đầu gối và khuỷu tay hoặc dọc theo sẹo, nếp gấp da và nếp nhăn (như ở lòng bàn tay).\n- Bất thường lượng đường trong máu, như lượng đường trong máu thấp nguy hiểm (hạ đường huyết).\n- Buồn nôn, nôn và tiêu chảy.\n- Không có khả năng đối phó với căng thẳng.\n- Tâm trạng buồn bực, khó chịu và trầm cảm.\n- Không thích nghi được với cảm giác nóng hoặc lạnh\n- Thèm đồ ăn mặn. Vì các triệu chứng của bệnh Addison tiến triển chậm, chúng có thể không được nhận ra cho đến khi bị kích hoạt bởi một sự kiện căng thẳng về thể chất. Chẳng hạn như bị một bệnh khác, phẫu thuật hoặc tai nạn, làm cho các triệu chứng xấu đi nhanh chóng. Khi điều này xảy ra, nó được gọi là một cuộc khủng hoảng Addisonia. Cứ bốn người mắc bệnh Addison thì sẽ có một người phát hiện bệnh khi bị cuộc khủng hoảng Addisonia. Khủng hoảng Addisonia được xem là một cấp cứu y khoa vì nó có thể gây tử vong.']","Triệu chứng bất thường lượng đường trong máu liên quan đến bệnh Addison bao gồm:

1. Khẩu cảm
2. Khẩu khô
3. Khẩu khô
4. Khẩu khô
5. Khẩu khô",Triệu chứng bất thường lượng đường trong máu liên quan đến bệnh Addison là lượng đường trong máu thấp nguy hiểm (hạ đường huyết).,0.0,0.16666666666666666,0.9427877935240143
"Ngoài triterpene glycoside và alkaloid, lá cây Gáo còn chứa thành phần nào khác?","['Thành phần cây Gáo có chứa triterpene glycoside là naucleosid và noreugenin. Lá chứa các alkaloid là 10 hydroxy strictosamid và 6’ O acetyl strictosamid, vincosamid. Ngoài ra còn có β sitosterol, acid palmitic. Vỏ, lá và gỗ đều chứa các chất đắng.']","Ngoài triterpene glycoside và alkaloid, lá cây Gáo còn chứa flavonoid.","Ngoài triterpene glycoside và alkaloid, lá cây Gáo còn chứa β sitosterol và acid palmitic.",0.57,0.6666666666666666,0.9650308240614598
